
2024/03/13 (11:37:12) | DEBUG: Loading theme file: /usr/share/btop/themes/horizon.theme
2024/03/13 (11:37:13) | DEBUG: Loading theme file: /usr/share/btop/themes/horizon.theme
2024/03/13 (11:37:15) | DEBUG: Loading theme file: /usr/share/btop/themes/horizon.theme
2024/03/13 (11:37:18) | DEBUG: Loading theme file: /usr/share/btop/themes/horizon.theme
2024/03/13 (11:37:19) | DEBUG: Loading theme file: /usr/share/btop/themes/flat-remix.theme
2024/03/13 (11:37:36) | DEBUG: Loading theme file: /usr/share/btop/themes/dracula.theme
2024/03/13 (11:37:37) | DEBUG: Loading theme file: /usr/share/btop/themes/gruvbox_material_dark.theme
2024/03/13 (11:38:03) | DEBUG: Loading theme file: /usr/share/btop/themes/onedark.theme
2024/03/13 (11:38:04) | DEBUG: Loading theme file: /usr/share/btop/themes/ayu.theme
2024/03/13 (11:38:04) | DEBUG: Loading theme file: /usr/share/btop/themes/onedark.theme
2024/03/13 (11:38:04) | DEBUG: Loading theme file: /usr/share/btop/themes/ayu.theme
2024/03/13 (11:38:05) | DEBUG: Loading theme file: /usr/share/btop/themes/whiteout.theme
2024/03/13 (11:38:06) | DEBUG: Loading theme file: /usr/share/btop/themes/ayu.theme
2024/03/13 (11:38:07) | DEBUG: Loading theme file: /usr/share/btop/themes/ayu.theme
2024/03/13 (11:38:08) | DEBUG: Loading theme file: /usr/share/btop/themes/ayu.theme
2024/03/13 (11:38:08) | DEBUG: Loading theme file: /usr/share/btop/themes/ayu.theme
2024/03/13 (11:38:09) | DEBUG: Loading theme file: /usr/share/btop/themes/ayu.theme
2024/03/13 (11:38:10) | DEBUG: Loading theme file: /usr/share/btop/themes/ayu.theme

2024/03/13 (19:55:02) | ===> btop++ v.1.3.2
2024/03/13 (19:55:02) | INFO: Logger set to DEBUG
2024/03/13 (19:55:02) | DEBUG: Setting LC_ALL=en_PH.UTF-8
2024/03/13 (19:55:02) | INFO: Running on /dev/pts/1
2024/03/13 (19:55:02) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.
2024/03/13 (19:55:02) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/03/13 (19:55:02) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/03/13 (19:55:02) | DEBUG: Shared::init() : Initialized.
2024/03/13 (19:55:02) | DEBUG: Loading theme file: /usr/share/btop/themes/ayu.theme
2024/03/13 (20:00:24) | DEBUG: Loading theme file: /usr/share/btop/themes/ayu.theme
2024/03/13 (20:00:26) | DEBUG: Loading theme file: /usr/share/btop/themes/ayu.theme
2024/03/13 (20:00:27) | DEBUG: Loading theme file: /usr/share/btop/themes/ayu.theme
2024/03/13 (20:00:28) | DEBUG: Loading theme file: /usr/share/btop/themes/ayu.theme
2024/03/13 (20:00:28) | DEBUG: Loading theme file: /usr/share/btop/themes/ayu.theme
2024/03/13 (20:00:29) | DEBUG: Loading theme file: /usr/share/btop/themes/ayu.theme
2024/03/13 (20:00:29) | DEBUG: Loading theme file: /usr/share/btop/themes/ayu.theme
2024/03/13 (20:00:30) | DEBUG: Loading theme file: /usr/share/btop/themes/ayu.theme
2024/03/13 (20:01:00) | INFO: Logger set to DEBUG
2024/03/13 (20:01:01) | INFO: Logger set to INFO
2024/03/13 (20:01:01) | INFO: Logger set to DEBUG
2024/03/13 (20:01:02) | INFO: Logger set to INFO
2024/03/13 (20:01:02) | INFO: Logger set to INFO
2024/03/13 (20:01:02) | INFO: Logger set to DEBUG
2024/03/13 (20:01:07) | DEBUG: Loading theme file: /usr/share/btop/themes/ayu.theme
2024/03/13 (20:01:08) | DEBUG: Loading theme file: /usr/share/btop/themes/ayu.theme
2024/03/13 (20:01:12) | DEBUG: Loading theme file: /usr/share/btop/themes/ayu.theme
2024/03/13 (20:06:09) | DEBUG: Writing new config file
2024/03/13 (20:06:09) | INFO: Quitting! Runtime: 00:11:07

2024/03/13 (20:09:28) | ===> btop++ v.1.3.2
2024/03/13 (20:09:28) | INFO: Logger set to DEBUG
